Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ireland,3176,3228,3272,3314,3368,3401,3440,3480,3504,3529,3540,3541,3543,3538,3515,3503,3526,3554,3574,3586,3601,3626,3664.313,3703.082,3741.647,3789.536,3847.198,3931.947,3996.521,4070.262,4159.914,4260.341,4356.931,4425.683,4458.942,4560.155,4576.794,4586.897,4598.294,4605.501,4635.39,4724.72,4807.3875,4867.316,4934.34,4964.44,5006.324,5060.004,5271.395
Isle of Man,60,62,62,63,63,63,64,64,64,64,63,64,64,67,68,68,70,70,71,71,72,72,72.452,73.274,74.06,74.911,74.911,77.156,77.464,77.581,78.8,78.8,80.885,81.722,82.371,82.691,82.691,85.047,85.682,86.322,86.963,85.619,83.314,83.314,83.314,83.314,83.314,84.069,84.069
Italy,55441,55701,55955,56155,56318,56434,56508,56639,56836,57005,57141,57246,57345,57441,57541,57661,56751,56859,57049,57204,56844,56860,56890.372,56906.744,56916.317,56942.108,56977.217,57157.406,57604.658,57685.327,57969.484,58143.979,58438.31,58826.731,59095.365,59277.417,59379.449,59539.717,60233.948,60789.14,60795.612,60665.551,60536.709,60150.323,59729.0805,59438.8505,59133.173,59030.133,58997.201
Lichtenstein,24,24,24,25,26,26,26,26,26,27,27,27,28,28,28,28,28,30,30,30,31,31,31.232,32.015,32.426,32.673,33.104,33.678,34.022,34.477,34.734,35.01,35.322,35.446,35.789,36.01,36.281,36.636,36.942,37.215,37.468,37.622,37.877,38.201,38.557,38.896,39.151,39.308,39.677
Luxembourg,358,361,361,362,363,364,365,366,366,366,367,368,371,374,378,382,387,390,397,403,409,414,419.45,424.7,430.475,436.3,441.525,446.175,451.631,458.095,465.158,472.637,479.993,488.65,497.782,506.953,518.347,530.946,543.36,556.319,569.604,576.249,596.336,607.9495,619.508,628.928,639.561,653.707,660.809
Malta,328,329,332,313,316,319,322,325,328,337,340,342,344,347,351,354,358,369,373,369,377,374,376.513,378.518,380.201,382.525,385.077,386.938,398.582,401.306,403.879,405.355,406.778,409.429,412.53,414.562,416.318,419.507,423.431,427.421,431.936,434.403,468.056,484.682,504.115,515.391,516.1,520.971,542.051
Monaco,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,31.986,31.986,33.268,33.268,33.268,33.268,33.268,33.268,33.268,33.268,33.268,33.268,35.499,35.764,36.126,36.05,36.95,36.9,37.6,38.2,37.55,38.35,38.3,38.15,38.35,38.35,38.35
Netherlands,13653,13770,13853,13937,14030,14144,14246,14310,14362,14420,14484,14564,14665,14758,14849,14952,15070,15184,15290,15383,15459,15530,15610.65,15707.209,15812.088,15925.513,16046.18,16148.929,16225.302,16281.779,16319.868,16346.101,16381.696,16445.593,16530.388,16615.394,16693.074,16754.962,16804.432,16865.007,16939.923,16979.12,17099.796,17231.6235,17282.163,17407.585,17475.415,17590.672,17811.291
Norway,4007,4026,4043,4059,4073,4086,4100,4115,4128,4140,4153,4167,4187,4209,4227,4241,4262,4286,4312,4325,4359,4381,4405.157,4431.464,4461.913,4490.967,4513.751,4538.159,4564.855,4591.91,4623.291,4660.677,4709.153,4768.212,4828.726,4889.252,4953.088,5018.573,5079.623,5137.232,5188.607,5236.826,5276.968,5295.619,5328.212,5367.58,5391.369,5425.27,5488.984
Poland,34022,34362,34698,35010,35257,35578,35902,36227,36571,36914,37203,37456,37664,37862,37963,38119,38245,38365,38459,38544,38588,38289,38292,38283,38270,38255.945,38250.79,38232.301,38195.177,38180.249,38161.313,38132.177,38115.967,38115.909,38153.389,38042.403,38051.032,38059.134,38031.632,38006.154,37981.588,37967.209,37962.318,37956.268,37948.14,37929.735,37840.001,37654.247,36753.736
